label_id,label_name
0,Games
1,Vehicle
2,Video game
3,Concert
4,Car
5,Dance
6,Animation
7,Musician
8,Football
9,Music video
10,Animal
11,Motorsport
12,Food
13,Musical ensemble
14,Guitar
15,Cartoon
16,Performance art
17,Racing
18,Outdoor recreation
19,PC game
20,Trailer
21,Stadium
22,Nature
23,Mobile phone
24,String instrument
25,Toy
26,Cooking
27,Motorcycle
28,Fashion
29,Smartphone
30,Drummer
31,Disc jockey
32,Recipe
33,Weapon
34,Action-adventure game
35,Minecraft
36,Piano
37,Gadget
38,Orchestra
39,Drums
40,Road
41,Sports car
42,Fishing
43,Call of Duty
44,Drums
45,Cosmetics
46,Choir
47,Personal computer
48,Pet
49,School
50,Aircraft
51,Strategy video game
52,Dish
53,Keyboard
54,Highlight film
55,Video game console
56,Hair
57,Race track
58,Cuisine
59,Winter sport
60,Basketball
61,Art
62,Train
63,Acoustic guitar
64,Transport
65,Kick
66,Bollywood
67,Cycling
68,Lighting
69,Bicycle
70,Driving
71,Dog
72,iPhone
73,Ball
74,Truck
75,Wrestling
76,Ball
77,Arena
78,Wedding
79,American football
80,Horse
81,Athlete
82,Airplane
83,Skateboarding
84,Snow
85,Combat
86,Plant
87,Boat
88,Machine
89,Comics
90,Sports game
91,Fish
92,Radio-controlled model
93,Comedy
94,Dashcam
95,Talent show
96,Soldier
97,Drawing
98,Festival
99,Christmas
100,Electric guitar
101,Telephone
102,Building
103,Rail transport
104,Pianist
105,Motorcycling
106,Hairstyle
107,Musical keyboard
108,Skateboard
109,Cooking show
110,Album
111,PlayStation 3
112,Ice skating
113,House
114,Engine
115,Ballet
116,Pokémon
117,Boxing
118,Grand Theft Auto V
119,Locomotive
120,Winter
121,Photography
122,Weight training
123,Naruto
124,Tractor
125,Television
126,The Walt Disney Company
127,Xbox 360
128,Cymbal
129,Aviation
130,Gymnastics
131,Computer
132,Bird
133,Nightclub
134,Call of Duty: Black Ops
135,Drifting
136,Gardening
137,Tree
138,Call of Duty: Black Ops II
139,Airport
140,LEGO
141,Microsoft Windows
142,Hockey
143,Railroad car
144,Amusement park
145,Tablet computer
146,Snare drum
147,River
148,Painting
149,Model aircraft
150,Violin
151,Landing
152,Track
153,Dress
154,Wheel
155,Camera
156,Agriculture
157,Jet aircraft
158,Tire
159,World of Warcraft
160,Radio-controlled aircraft
161,Train station
162,Medicine
163,Running
164,Beach
165,League of Legends
166,Cat
167,Four-wheel drive
168,Basketball moves
169,Rallying
170,Home improvement
171,Warcraft
172,Motocross
173,Eye shadow
174,Farm
175,Airliner
176,PlayStation 4
177,Skiing
